timestamp,cpu_usage,gpu_usage,ram_usage,temperature,battery_level,fps,network_usage,background_processes,app_usage,performance_mode,overheating_risk,fps_drop_risk,battery_drain_risk,performance_degradation
2026-01-01 00:00:00,34.94,23.62,41.25,31.6,85.0,61.8,11.93,18,browsing,smart_ai,0,0,0,0
2026-01-01 00:00:02,39.16,26.13,44.04,31.7,84.99,55.3,19.32,22,heavy,smart_ai,0,0,0,0
2026-01-01 00:00:04,45.65,30.94,49.27,31.67,84.98,58.4,22.99,25,gaming,performance,0,0,0,0
2026-01-01 00:00:06,46.76,44.64,52.79,32.0,84.98,59.5,26.34,21,gaming,smart_ai,0,0,0,0
2026-01-01 00:00:08,40.64,36.21,46.01,32.4,84.98,60.3,25.1,19,idle,balanced,0,0,0,0
2026-01-01 00:00:10,40.73,32.29,41.91,32.33,84.97,58.0,25.13,20,idle,performance,0,0,0,0
2026-01-01 00:00:12,48.58,27.31,38.04,31.96,84.96,61.0,23.85,22,idle,balanced,0,0,0,0
2026-01-01 00:00:14,50.38,38.08,42.54,32.55,84.96,55.5,21.61,23,heavy,performance,0,0,0,0
2026-01-01 00:00:16,46.28,38.21,43.7,32.51,84.96,59.7,22.61,23,gaming,balanced,0,0,0,0
2026-01-01 00:00:18,50.49,44.31,44.4,32.73,84.95,61.4,22.47,24,gaming,smart_ai,0,0,0,0
2026-01-01 00:00:20,46.77,42.31,42.06,33.15,84.94,60.5,21.37,23,idle,smart_ai,0,0,0,0
2026-01-01 00:00:22,48.48,43.28,46.3,33.79,84.94,54.8,25.09,20,heavy,smart_ai,0,0,0,0
2026-01-01 00:00:24,53.23,47.63,43.76,34.06,84.94,58.3,22.9,22,gaming,balanced,0,0,0,0
2026-01-01 00:00:26,48.13,39.89,39.87,34.08,84.93,60.2,16.17,23,idle,balanced,0,0,0,0
2026-01-01 00:00:28,38.57,28.2,39.63,34.02,84.92,60.1,16.01,20,idle,smart_ai,0,0,0,0
2026-01-01 00:00:30,35.58,27.76,40.72,33.93,84.92,59.5,15.59,19,idle,performance,0,0,0,0
2026-01-01 00:00:32,34.95,32.97,37.25,33.58,84.92,58.3,19.11,20,browsing,balanced,0,0,0,0
2026-01-01 00:00:34,29.47,30.53,37.6,32.98,84.91,60.2,14.96,21,browsing,performance,0,0,0,0
2026-01-01 00:00:36,25.71,29.83,40.55,33.33,84.9,60.5,14.72,17,browsing,balanced,0,0,0,0
2026-01-01 00:00:38,25.35,27.45,39.87,32.91,84.9,60.4,11.22,20,browsing,performance,0,0,0,0
2026-01-01 00:00:40,33.39,37.75,45.56,33.64,84.9,60.2,12.12,20,gaming,balanced,0,0,0,0
2026-01-01 00:00:42,36.62,28.01,40.72,33.79,84.89,59.8,13.5,16,idle,balanced,0,0,0,0
2026-01-01 00:00:44,36.11,26.06,38.47,34.12,84.88,59.9,13.33,14,browsing,smart_ai,0,0,0,0
2026-01-01 00:00:46,34.46,21.06,40.42,34.46,84.88,61.7,14.88,14,browsing,smart_ai,0,0,0,0
2026-01-01 00:00:48,32.67,22.87,40.76,34.44,84.88,59.7,18.41,14,browsing,performance,0,0,0,0
2026-01-01 00:00:50,44.4,30.66,43.66,34.29,84.87,59.8,20.91,14,gaming,balanced,0,0,0,0
2026-01-01 00:00:52,43.39,25.56,40.61,33.98,84.86,60.6,17.27,17,idle,smart_ai,0,0,0,0
2026-01-01 00:00:54,44.95,25.06,42.97,34.19,84.86,61.0,14.34,18,browsing,smart_ai,0,0,0,0
2026-01-01 00:00:56,51.47,25.62,49.29,33.94,84.86,58.7,7.4,19,gaming,smart_ai,0,0,0,0
2026-01-01 00:00:58,39.43,20.91,47.32,34.05,84.85,59.4,1.81,18,idle,balanced,0,0,0,0
2026-01-01 00:01:00,48.19,31.08,53.55,33.97,84.84,58.7,6.22,19,gaming,smart_ai,0,0,0,0
2026-01-01 00:01:02,43.19,24.63,43.96,33.75,84.84,60.6,6.44,20,idle,smart_ai,0,0,0,0
2026-01-01 00:01:04,40.34,25.08,42.64,33.83,84.84,60.0,0.0,17,idle,smart_ai,0,0,0,0
2026-01-01 00:01:06,44.59,32.88,45.64,34.22,84.83,54.1,6.8,17,heavy,smart_ai,0,0,0,0
2026-01-01 00:01:08,48.23,37.23,49.05,34.7,84.82,54.7,10.87,18,heavy,performance,0,0,0,0
2026-01-01 00:01:10,51.21,43.01,51.01,34.81,84.82,61.0,13.81,16,gaming,smart_ai,0,0,0,0
2026-01-01 00:01:12,48.44,37.41,50.4,34.95,84.82,61.1,11.77,16,browsing,performance,0,0,0,0
